ID_UNI;REGIONE;EDIZIONE;TIPO_ORG;Ambito
57-cheFare 1 (2012);Toscana;cheFare 1 (2012);Associazione culturale;EDITORIA, ENOGASTR
58-cheFare 1 (2012);Non rilevabile;cheFare 1 (2012);Associazione culturale;FORMAZIO, INTEG_SO, MODA
59-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione culturale;CROWDFUN, PERF_ART, WEB
60-cheFare 1 (2012);Puglia;cheFare 1 (2012);Comitato;COWORKIN, ENOGASTR
61-cheFare 1 (2012);Lombardia;cheFare 1 (2012);S.r.l.;ARTIPLAS, CONCORSO, PERF_ART
62-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;MUSICA, PEDAGOGI
63-cheFare 1 (2012);Lazio;cheFare 1 (2012);Associazione;SOCIALNE, SOCIOLOG
64-cheFare 1 (2012);Umbria;cheFare 1 (2012);Associazione culturale;COWORKIN, FORMAZIO
65-cheFare 1 (2012);Puglia;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;INTEG_SO, WEB
66-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione;COWORKIN
67-cheFare 1 (2012);Lazio;cheFare 1 (2012);S.r.l.;RIV_ONLI, WEB
68-cheFare 1 (2012);Trentino Alto Adige;cheFare 1 (2012);Società cooperativa;COMMERCI, FORMAZIO
69-cheFare 1 (2012);Emilia Romagna;cheFare 1 (2012);Fondazione;CINEMA, PEDAGOGI
70-cheFare 1 (2012);Toscana;cheFare 1 (2012);Associazione;FESTIVAL, MUSICA, SPORT
71-cheFare 1 (2012);Lazio;cheFare 1 (2012);Associazione;ARTIPLAS, SOCIALNE, VIDEO
72-cheFare 1 (2012);Veneto;cheFare 1 (2012);S.s.r.l.;APP_SOFT, EDITORIA, WEB
73-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione culturale;CINEMA, SOCIALNE
74-cheFare 1 (2012);Lazio;cheFare 1 (2012);S.s.r.l.;EDITORIA, SOCIALNE, WEB
75-cheFare 1 (2012);Lazio;cheFare 1 (2012);Associazione;FORMAZIO, SOCIALNE
76-cheFare 1 (2012);Piemonte e Valle dAosta;cheFare 1 (2012);Associazione;COWORKIN, FORMAZIO, MUSICA
77-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione;SOCIALNE
78-cheFare 1 (2012);Lombardia;cheFare 1 (2012);S.r.l.;APP_SOFT, RIV_ONLI
79-cheFare 1 (2012);Calabria;cheFare 1 (2012);S.r.l.;ARTIPLAS
80-cheFare 1 (2012);Campania;cheFare 1 (2012);Altro tipo di organizzazione;ARCHITET, ARTIPLAS, SOCIALNE
81-cheFare 1 (2012);Liguria;cheFare 1 (2012);Associazione;EDITORIA, FORMAZIO, VIDEO
82-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;SOCIALNE, WEB
83-cheFare 1 (2012);Non rilevabile;cheFare 1 (2012);Altro tipo di organizzazione;ARCHITET, COWORKIN
84-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Altro tipo di organizzazione;APP_SOFT, LETTERAT, WEB
85-cheFare 1 (2012);Campania;cheFare 1 (2012);Fondazione;ARCHEOLO, TURISMO
86-cheFare 1 (2012);Campania;cheFare 1 (2012);Associazione;DANZA, FORMAZIO, TEATRO
87-cheFare 1 (2012);Piemonte e Valle dAosta;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;COWORKIN, RESTAURO
88-cheFare 1 (2012);Lazio;cheFare 1 (2012);Associazione;WEB
89-cheFare 1 (2012);Piemonte e Valle dAosta;cheFare 1 (2012);Associazione culturale;CINEMA, LETTERAT, WEB
90-cheFare 1 (2012);Toscana;cheFare 1 (2012);Fondazione;MUSICA, PEDAGOGI
91-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione culturale;PERF_ART, SPORT, WEB
92-cheFare 1 (2012);Emilia Romagna;cheFare 1 (2012);Associazione sportiva;DANZA, FESTIVAL, TEATRO
93-cheFare 1 (2012);Lazio;cheFare 1 (2012);Associazione;FORMAZIO, SOCIALNE, WEB
94-cheFare 1 (2012);Veneto;cheFare 1 (2012);Associazione;INTEG_SO, PEDAGOGI
95-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione;FOTOGRAF, INTEG_SO
96-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione;APP_SOFT, ARCHITET, SOCIALNE
97-cheFare 1 (2012);Non rilevabile;cheFare 1 (2012);S.r.l.;APP_SOFT, WEB
98-cheFare 1 (2012);Lazio;cheFare 1 (2012);Associazione sportiva;INTEG_SO, PEDAGOGI, SPORT
99-cheFare 1 (2012);Non rilevabile;cheFare 1 (2012);Associazione;EDITORIA
100-cheFare 1 (2012);Puglia;cheFare 1 (2012);Associazione culturale;RIV_ONLI, VIDEO, WEB
101-cheFare 1 (2012);Veneto;cheFare 1 (2012);S.r.l.;SOCIOLOG, WEB
102-cheFare 1 (2012);Puglia;cheFare 1 (2012);S.n.c.;FORMAZIO, FOTOGRAF, WEB
103-cheFare 1 (2012);Lazio;cheFare 1 (2012);Associazione culturale;ARCHITET, FESTIVAL, TURISMO
104-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;ARTIPLAS, PERF_ART
105-cheFare 1 (2012);Emilia Romagna;cheFare 1 (2012);Società cooperativa;ARTIPLAS, FESTIVAL
106-cheFare 1 (2012);Sicilia;cheFare 1 (2012);S.r.l.;ARTIPLAS, CONCORSO
107-cheFare 1 (2012);Friuli Venezia Giulia;cheFare 1 (2012);Comitato;ARTIPLAS, COWORKIN, WEB
108-cheFare 1 (2012);Lazio;cheFare 1 (2012);S.r.l.;ANTROPOL, SOCIOLOG, WEB
109-cheFare 1 (2012);Piemonte e Valle dAosta;cheFare 1 (2012);Associazione;EDITORIA, PEDAGOGI, SOCIOLOG
110-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;FORMAZIO, WEB
111-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione culturale;RADIO, TEATRO, WEB
112-cheFare 1 (2012);Lazio;cheFare 1 (2012);Associazione culturale;INTEG_SO, MUSICA
113-cheFare 1 (2012);Campania;cheFare 1 (2012);Associazione culturale;MUSICA, PERF_ART, TEATRO
