ID_UNI;REGIONE;EDIZIONE;TIPO_ORG;Ambito
489-cheFare 1 (2012);Piemonte e Valle dAosta;cheFare 1 (2012);Associazione culturale;CINEMA, LETTERAT, SOCIALNE
490-cheFare 1 (2012);Piemonte e Valle dAosta;cheFare 1 (2012);S.r.l.;FORMAZIO, PERF_ART, TEATRO
491-cheFare 1 (2012);Calabria;cheFare 1 (2012);Associazione culturale;CONCORSO, FESTIVAL
492-cheFare 1 (2012);Lombardia;cheFare 1 (2012);S.r.l.;FORMAZIO, WEB
493-cheFare 1 (2012);Non rilevabile;cheFare 1 (2012);S.r.l.;EDITORIA, SOCIALNE
494-cheFare 1 (2012);Puglia;cheFare 1 (2012);Associazione culturale;SOCIALNE, WEB
495-cheFare 1 (2012);Lazio;cheFare 1 (2012);Associazione culturale;FORMAZIO, TEATRO, WEB
496-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Consorzio;ENOGASTR, VIDEO, TURISMO
497-cheFare 1 (2012);Puglia;cheFare 1 (2012);Associazione culturale;FILOSOFI, WEB
498-cheFare 1 (2012);Lombardia;cheFare 1 (2012);Associazione;DESIGN, SOCIALNE
499-cheFare 1 (2012);Lazio;cheFare 1 (2012);Associazione;RIV_ONLI, SOCIOLOG
500-cheFare 1 (2012);Toscana;cheFare 1 (2012);Associazione culturale;CONCORSO, FESTIVAL
501-cheFare 1 (2012);Sardegna;cheFare 1 (2012);Associazione;COWORKIN, SOCIALNE
502-cheFare 1 (2012);Lombardia;cheFare 1 (2012);S.r.l.;FESTIVAL, SOCIOLOG
503-cheFare 1 (2012);Lombardia;cheFare 1 (2012);S.r.l.;APP_SOFT, PEDAGOGI, TEATRO
504-cheFare 1 (2012);Umbria;cheFare 1 (2012);Società cooperativa;CINEMA, LETTERAT, VIDEO
505-cheFare 1 (2012);Puglia;cheFare 1 (2012);Associazione di Promozione Sociale/Consorzio di cooperative sociali;INTEG_SO, TEATRO
506-cheFare 1 (2012);Lazio;cheFare 1 (2012);Associazione culturale;RIV_ONLI, WEB
507-cheFare 1 (2012);Non rilevabile;cheFare 1 (2012);Altro tipo di organizzazione;ARCHEOLO, LINGUE_S, TURISMO
508-cheFare 1 (2012);Toscana;cheFare 1 (2012);Associazione culturale;COWORKIN, CROWDFUN, WEB
509-cheFare 1 (2012);Campania;cheFare 1 (2012);Associazione culturale;PEDAGOGI, TEATRO
510-cheFare 1 (2012);Puglia;cheFare 1 (2012);S.r.l.;DANZA, SOCIALNE
1-cheFare 2 (2013/2014);Piemonte e Valle dAosta;cheFare 2 (2013/2014);Altro tipo di organizzazione;BENI_CUL, EDITORIA, INTEG_SO
2-cheFare 2 (2013/2014);Lazio;cheFare 2 (2013/2014);S.r.l.;ARTIPLAS, BENI_CUL, DANZA, EVENTI, FESTIVAL, MUSICA, MUSEI, PERF_ART, SOCIALNE, TEATRO, WEB, TURISMO
3-cheFare 2 (2013/2014);Lazio;cheFare 2 (2013/2014);Organizzazione di volontariato/O.N.G.;APP_SOFT, COMMUNIT, MUSICA
4-cheFare 2 (2013/2014);Veneto;cheFare 2 (2013/2014);Consorzio;BENI_CUL, ENOGASTR, MUSEI, TURISMO
5-cheFare 2 (2013/2014);Veneto;cheFare 2 (2013/2014);Associazione culturale;CINEMA, COMMUNIT, EVENTI, FESTIVAL, INTEG_SO, VIDEO
6-cheFare 2 (2013/2014);Campania;cheFare 2 (2013/2014);Associazione sportiva;CONCORSO, PERF_ART, SPORT
7-cheFare 2 (2013/2014);Friuli Venezia Giulia;cheFare 2 (2013/2014);Fondazione;EVENTI, FESTIVAL, LETTERAT
8-cheFare 2 (2013/2014);Lazio;cheFare 2 (2013/2014);Fondazione;RADIO, WEB
9-cheFare 2 (2013/2014);Lazio;cheFare 2 (2013/2014);Associazione culturale;FESTIVAL, LETTERAT, TURISMO
10-cheFare 2 (2013/2014);Lombardia;cheFare 2 (2013/2014);Fondazione di partecipazione;ARCHITET, ARTIPLAS, BENI_CUL, EDITORIA, MUSEI, PERF_ART, RESTAURO
11-cheFare 2 (2013/2014);Piemonte e Valle dAosta;cheFare 2 (2013/2014);S.r.l.;ARCHITET, FOTOGRAF, MUSEI
12-cheFare 2 (2013/2014);Marche;cheFare 2 (2013/2014);Associazione culturale;COMMUNIT, EVENTI
13-cheFare 2 (2013/2014);Marche;cheFare 2 (2013/2014);Associazione di Promozione Sociale/Consorzio di cooperative sociali;COMMUNIT, CROWDFUN, INTEG_SO, PITTURA
14-cheFare 2 (2013/2014);Lombardia;cheFare 2 (2013/2014);Associazione;BENI_CUL, FORMAZIO, INTEG_SO
15-cheFare 2 (2013/2014);Piemonte e Valle dAosta;cheFare 2 (2013/2014);Associazione culturale;CINEMA, INTEG_SO, TURISMO
16-cheFare 2 (2013/2014);Campania;cheFare 2 (2013/2014);Comitato;BENI_CUL, COWORKIN, FORMAZIO, SOCIALNE
17-cheFare 2 (2013/2014);Umbria;cheFare 2 (2013/2014);Associazione culturale;BENI_CUL, EVENTI, LETTERAT
18-cheFare 2 (2013/2014);Umbria;cheFare 2 (2013/2014);S.r.l.;CIBO, COMMUNIT, SOCIALNE
19-cheFare 2 (2013/2014);Emilia Romagna;cheFare 2 (2013/2014);Fondazione;ARCHITET, DIDATTIC, MUSEI, TURISMO
20-cheFare 2 (2013/2014);Sardegna;cheFare 2 (2013/2014);Fondazione di partecipazione;CONCORSO, FESTIVAL, MUSICA
21-cheFare 2 (2013/2014);Emilia Romagna;cheFare 2 (2013/2014);Associazione di Promozione Sociale/Consorzio di cooperative sociali;BENI_CUL, COMMUNIT, INTEG_SO
22-cheFare 2 (2013/2014);Lombardia;cheFare 2 (2013/2014);Associazione culturale;BENI_CUL, FORMAZIO, FOTOGRAF
23-cheFare 2 (2013/2014);Non rilevabile;cheFare 2 (2013/2014);Altro tipo di organizzazione;AGRICOLT, BENI_CUL, CIBO, CINEMA, COMMERCI, ENOGASTR, FILOSOFI, MUSICA, VIDEO, WEB
24-cheFare 2 (2013/2014);Lazio;cheFare 2 (2013/2014);Associazione di Promozione Sociale/Consorzio di cooperative sociali;FORMAZIO, SOCIALNE
25-cheFare 2 (2013/2014);Lombardia;cheFare 2 (2013/2014);Associazione culturale;ARCHITET, ARTIPLAS, INTEG_SO
26-cheFare 2 (2013/2014);Lombardia;cheFare 2 (2013/2014);Associazione culturale;BENI_CUL, COMMUNIT, INTEG_SO
27-cheFare 2 (2013/2014);Liguria;cheFare 2 (2013/2014);Associazione di Promozione Sociale/Consorzio di cooperative sociali;DIDATTIC, FORMAZIO, TURISMO
28-cheFare 2 (2013/2014);Lazio;cheFare 2 (2013/2014);Associazione;CINEMA, FORMAZIO, INTEG_SO
29-cheFare 2 (2013/2014);Friuli Venezia Giulia;cheFare 2 (2013/2014);Associazione culturale;BENI_CUL, MUSICA, TEATRO
30-cheFare 2 (2013/2014);Emilia Romagna;cheFare 2 (2013/2014);S.a.s.;OPENDATA, WEB, TURISMO
31-cheFare 2 (2013/2014);Puglia;cheFare 2 (2013/2014);S.s.r.l.;COMMUNIT, SOCIALNE, VIDEO, WEB
32-cheFare 2 (2013/2014);Veneto;cheFare 2 (2013/2014);Associazione;FORMAZIO
33-cheFare 2 (2013/2014);Estero;cheFare 2 (2013/2014);Associazione;COMMUNIT, FORMAZIO, PERF_ART
34-cheFare 2 (2013/2014);Piemonte e Valle dAosta;cheFare 2 (2013/2014);Associazione culturale;DIDATTIC, FESTIVAL, FORMAZIO, PEDAGOGI
35-cheFare 2 (2013/2014);Lazio;cheFare 2 (2013/2014);società cooperativa a r.l.;COMMERCI, COWORKIN, EDITORIA
36-cheFare 2 (2013/2014);Basilicata;cheFare 2 (2013/2014);Associazione culturale;COMMUNIT, WEB
37-cheFare 2 (2013/2014);Veneto;cheFare 2 (2013/2014);Associazione;INFANZIA, LETTERAT, PSICOLOG
38-cheFare 2 (2013/2014);Piemonte e Valle dAosta;cheFare 2 (2013/2014);Associazione di Promozione Sociale/Consorzio di cooperative sociali;ARTIPLAS, DESIGN, FORMAZIO
39-cheFare 2 (2013/2014);Lombardia;cheFare 2 (2013/2014);Organizzazione di volontariato/O.N.G.;CINEMA, INTEG_SO
40-cheFare 2 (2013/2014);Lazio;cheFare 2 (2013/2014);S.r.l.;COMMERCI, COMMUNIT, WEB
41-cheFare 2 (2013/2014);Lombardia;cheFare 2 (2013/2014);Associazione culturale;FORMAZIO, INTEG_SO, PERF_ART
42-cheFare 2 (2013/2014);Lazio;cheFare 2 (2013/2014);Associazione culturale;ANTROPOL, BENI_CUL, TURISMO
43-cheFare 2 (2013/2014);Emilia Romagna;cheFare 2 (2013/2014);Associazione culturale;ARCHITET, CONCORSO, INTEG_SO
44-cheFare 2 (2013/2014);Emilia Romagna;cheFare 2 (2013/2014);S.r.l.;ARTIPLAS, BENI_CUL, DESIGN, EDITORIA, EVENTI, FESTIVAL, FILOSOFI, FORMAZIO, FOTOGRAF, LETTERAT, PERF_ART, PITTURA, TEATRO
45-cheFare 2 (2013/2014);Campania;cheFare 2 (2013/2014);Associazione culturale;ARCHITET, CONCORSO, EVENTI
46-cheFare 2 (2013/2014);Toscana;cheFare 2 (2013/2014);Associazione culturale;CINEMA, FESTIVAL, FORMAZIO
47-cheFare 2 (2013/2014);Lombardia;cheFare 2 (2013/2014);S.r.l.;CROWDFUN, FUNDRAIS, WEB
48-cheFare 2 (2013/2014);Emilia Romagna;cheFare 2 (2013/2014);Associazione culturale;FESTIVAL, MUSICA, PERF_ART
49-cheFare 2 (2013/2014);Campania;cheFare 2 (2013/2014);Consorzio;AGRICOLT, COWORKIN, FORMAZIO
50-cheFare 2 (2013/2014);Lazio;cheFare 2 (2013/2014);Società cooperativa;EDITORIA, INFANZIA, LETTERAT
51-cheFare 2 (2013/2014);Emilia Romagna;cheFare 2 (2013/2014);Associazione culturale;AGRICOLT, WEB, TURISMO
52-cheFare 2 (2013/2014);Lombardia;cheFare 2 (2013/2014);Associazione di Promozione Sociale/Consorzio di cooperative sociali;APP_SOFT, COMMUNIT, EVENTI
53-cheFare 2 (2013/2014);Lombardia;cheFare 2 (2013/2014);Altro tipo di organizzazione;AGRICOLT, CIBO, DIDATTIC
54-cheFare 2 (2013/2014);Lombardia;cheFare 2 (2013/2014);Comitato;ARTIPLAS, CIBO, EVENTI
55-cheFare 2 (2013/2014);Toscana;cheFare 2 (2013/2014);Associazione culturale;BENI_CUL, FOTOGRAF, TURISMO
56-cheFare 2 (2013/2014);Piemonte e Valle dAosta;cheFare 2 (2013/2014);Associazione;CONCORSO, EDITORIA, INTEG_SO, LETTERAT
57-cheFare 2 (2013/2014);Campania;cheFare 2 (2013/2014);Associazione;ANTROPOL, ARCHEOLO, ARCHITET, ARTIPLAS, BENI_CUL, BIBLIOTE, CIBO, CINEMA, COMMUNIT, CONCORSO, COWORKIN, CROWDFUN, DANZA, DESIGN, DIDATTIC, EDITORIA, ENOGASTR, EVENTI, FABBING, FESTIVAL, FILOSOFI, FORMAZIO, FOTOGRAF, FUNDRAIS, INTEG_SO, LETTERAT, LINGUE_S, MODA, MUSICA, MUSEI, OPENDATA, PEDAGOGI, PERF_ART, PITTURA, PSICOLOG, RADIO, RESTAURO, RIV_ONLI, SOCIALNE, SOCIOLOG, TEATRO, VIDEO, WEB, TURISMO
58-cheFare 2 (2013/2014);Toscana;cheFare 2 (2013/2014);Associazione culturale;APP_SOFT, FORMAZIO, PERF_ART
59-cheFare 2 (2013/2014);Piemonte e Valle dAosta;cheFare 2 (2013/2014);Associazione;EDITORIA, INFANZIA, INTEG_SO
60-cheFare 2 (2013/2014);Lazio;cheFare 2 (2013/2014);Associazione di Promozione Sociale/Consorzio di cooperative sociali;BENI_CUL, COMMUNIT, COWORKIN, EDITORIA
61-cheFare 2 (2013/2014);Sicilia;cheFare 2 (2013/2014);Associazione;ARCHITET, COMMUNIT, INTEG_SO
62-cheFare 2 (2013/2014);Campania;cheFare 2 (2013/2014);S.r.l.;SOCIALNE
63-cheFare 2 (2013/2014);Sicilia;cheFare 2 (2013/2014);società cooperativa a r.l.;ARCHITET, INTEG_SO, SOCIALNE, VIDEO, WEB
64-cheFare 2 (2013/2014);Lombardia;cheFare 2 (2013/2014);S.r.l.;BENI_CUL, COMMUNIT, EDITORIA
65-cheFare 2 (2013/2014);Lazio;cheFare 2 (2013/2014);S.r.l.;LETTERAT, TEATRO, VIDEO
66-cheFare 2 (2013/2014);Non rilevabile;cheFare 2 (2013/2014);S.s.r.l.;COWORKIN, CROWDFUN, EDITORIA, FUNDRAIS, LETTERAT, SOCIALNE, WEB
67-cheFare 2 (2013/2014);Toscana;cheFare 2 (2013/2014);S.n.c.;APP_SOFT, DESIGN, INTEG_SO, WEB
68-cheFare 2 (2013/2014);Sicilia;cheFare 2 (2013/2014);Associazione;CROWDFUN, EDITORIA, WEB
69-cheFare 2 (2013/2014);Lazio;cheFare 2 (2013/2014);Associazione culturale;COWORKIN, EVENTI
70-cheFare 2 (2013/2014);Puglia;cheFare 2 (2013/2014);S.a.s.;EVENTI, FESTIVAL, PERF_ART
71-cheFare 2 (2013/2014);Umbria;cheFare 2 (2013/2014);Associazione;CINEMA, CONCORSO, INTEG_SO, TURISMO
72-cheFare 2 (2013/2014);Campania;cheFare 2 (2013/2014);Altro tipo di organizzazione;INTEG_SO, SOCIALNE, WEB
73-cheFare 2 (2013/2014);Lombardia;cheFare 2 (2013/2014);Associazione;ARCHITET, COMMUNIT, CROWDFUN
74-cheFare 2 (2013/2014);Abruzzo e Molise;cheFare 2 (2013/2014);Associazione culturale;APP_SOFT, BENI_CUL, ENOGASTR, EVENTI, MUSICA, TEATRO
75-cheFare 2 (2013/2014);Lombardia;cheFare 2 (2013/2014);S.s.r.l.;FESTIVAL, TEATRO, TURISMO
76-cheFare 2 (2013/2014);Piemonte e Valle dAosta;cheFare 2 (2013/2014);Associazione di Promozione Sociale/Consorzio di cooperative sociali;LETTERAT, VIDEO, TURISMO
77-cheFare 2 (2013/2014);Lazio;cheFare 2 (2013/2014);Altro tipo di organizzazione;ARTIPLAS, DESIGN
78-cheFare 2 (2013/2014);Puglia;cheFare 2 (2013/2014);S.n.c.;CIBO, FORMAZIO, INTEG_SO
79-cheFare 2 (2013/2014);Lazio;cheFare 2 (2013/2014);Associazione;ARCHITET, CINEMA, DESIGN
80-cheFare 2 (2013/2014);Sicilia;cheFare 2 (2013/2014);Associazione di Promozione Sociale/Consorzio di cooperative sociali;EVENTI, SOCIOLOG, TURISMO
81-cheFare 2 (2013/2014);Piemonte e Valle dAosta;cheFare 2 (2013/2014);Associazione;COMMUNIT, EVENTI
82-cheFare 2 (2013/2014);Lombardia;cheFare 2 (2013/2014);Altro tipo di organizzazione;EDITORIA, LETTERAT
83-cheFare 2 (2013/2014);Piemonte e Valle dAosta;cheFare 2 (2013/2014);Altro tipo di organizzazione;APP_SOFT, SPORT, TURISMO
84-cheFare 2 (2013/2014);Emilia Romagna;cheFare 2 (2013/2014);Società cooperativa;DIDATTIC, FORMAZIO, INTEG_SO
85-cheFare 2 (2013/2014);Lazio;cheFare 2 (2013/2014);S.r.l.;EVENTI, PERF_ART, TURISMO
86-cheFare 2 (2013/2014);Toscana;cheFare 2 (2013/2014);Associazione;DANZA, ENOGASTR, PERF_ART
87-cheFare 2 (2013/2014);Toscana;cheFare 2 (2013/2014);società cooperativa a r.l.;COMMUNIT, EVENTI, WEB, TURISMO
88-cheFare 2 (2013/2014);Calabria;cheFare 2 (2013/2014);Organizzazione di volontariato/O.N.G.;APP_SOFT, INTEG_SO, MUSICA
89-cheFare 2 (2013/2014);Non rilevabile;cheFare 2 (2013/2014);S.n.c.;DIDATTIC, INTEG_SO, LINGUE_S
90-cheFare 2 (2013/2014);Puglia;cheFare 2 (2013/2014);Associazione;BENI_CUL, VIDEO, TURISMO
91-cheFare 2 (2013/2014);Lombardia;cheFare 2 (2013/2014);Associazione di Promozione Sociale/Consorzio di cooperative sociali;BIBLIOTE, INTEG_SO, PEDAGOGI
92-cheFare 2 (2013/2014);Emilia Romagna;cheFare 2 (2013/2014);Società cooperativa;ARCHITET, BENI_CUL, TURISMO
93-cheFare 2 (2013/2014);Basilicata;cheFare 2 (2013/2014);Consorzio;FESTIVAL, MUSICA, PERF_ART
94-cheFare 2 (2013/2014);Piemonte e Valle dAosta;cheFare 2 (2013/2014);S.n.c.;CIBO, COMMERCI, INTEG_SO
95-cheFare 2 (2013/2014);Emilia Romagna;cheFare 2 (2013/2014);Associazione;MUSICA, MUSEI, TURISMO
96-cheFare 2 (2013/2014);Puglia;cheFare 2 (2013/2014);Associazione;COMMUNIT, SOCIALNE, WEB
97-cheFare 2 (2013/2014);Puglia;cheFare 2 (2013/2014);Associazione di Promozione Sociale/Consorzio di cooperative sociali;COMMUNIT, CROWDFUN, EVENTI
98-cheFare 2 (2013/2014);Sicilia;cheFare 2 (2013/2014);Fondazione;DIDATTIC, FORMAZIO, MUSEI
99-cheFare 2 (2013/2014);Piemonte e Valle dAosta;cheFare 2 (2013/2014);Associazione;ARTIPLAS, COMMUNIT, TURISMO
100-cheFare 2 (2013/2014);Abruzzo e Molise;cheFare 2 (2013/2014);Fondazione;ENOGASTR, EVENTI, TURISMO
101-cheFare 2 (2013/2014);Lazio;cheFare 2 (2013/2014);Associazione;BENI_CUL, COMMUNIT, DIDATTIC, EVENTI, FORMAZIO, INTEG_SO
102-cheFare 2 (2013/2014);Lazio;cheFare 2 (2013/2014);Associazione culturale;COWORKIN, EVENTI, INTEG_SO
103-cheFare 2 (2013/2014);Piemonte e Valle dAosta;cheFare 2 (2013/2014);Associazione culturale;AGRICOLT, COMMUNIT, ENOGASTR
104-cheFare 2 (2013/2014);Trentino Alto Adige;cheFare 2 (2013/2014);S.r.l.;LINGUE_S, OPENDATA, SOCIALNE
105-cheFare 2 (2013/2014);Sicilia;cheFare 2 (2013/2014);Associazione;BENI_CUL, INTEG_SO, TURISMO
106-cheFare 2 (2013/2014);Sicilia;cheFare 2 (2013/2014);Altro tipo di organizzazione;ARCHITET, BENI_CUL, BIBLIOTE
107-cheFare 2 (2013/2014);Veneto;cheFare 2 (2013/2014);Associazione culturale;COMMUNIT, EDITORIA, FORMAZIO
108-cheFare 2 (2013/2014);Piemonte e Valle dAosta;cheFare 2 (2013/2014);Associazione culturale;DIDATTIC, INTEG_SO
109-cheFare 2 (2013/2014);Basilicata;cheFare 2 (2013/2014);Associazione culturale;APP_SOFT, ARCHITET, TURISMO
110-cheFare 2 (2013/2014);Trentino Alto Adige;cheFare 2 (2013/2014);S.n.c.;MUSICA, PERF_ART
111-cheFare 2 (2013/2014);Sardegna;cheFare 2 (2013/2014);Associazione di Promozione Sociale/Consorzio di cooperative sociali;LETTERAT, MUSEI, PERF_ART
112-cheFare 2 (2013/2014);Sicilia;cheFare 2 (2013/2014);Associazione culturale;BENI_CUL, EVENTI, TURISMO
113-cheFare 2 (2013/2014);Veneto;cheFare 2 (2013/2014);Associazione sportiva;FORMAZIO, INFANZIA, SPORT
114-cheFare 2 (2013/2014);Abruzzo e Molise;cheFare 2 (2013/2014);Associazione culturale;COMMUNIT, INTEG_SO, PERF_ART
115-cheFare 2 (2013/2014);Basilicata;cheFare 2 (2013/2014);Associazione culturale;AGRICOLT, ARTIPLAS, TURISMO
116-cheFare 2 (2013/2014);Puglia;cheFare 2 (2013/2014);Associazione;CINEMA, INTEG_SO, TEATRO, VIDEO
117-cheFare 2 (2013/2014);Emilia Romagna;cheFare 2 (2013/2014);Associazione;DIDATTIC, INTEG_SO, VIDEO
118-cheFare 2 (2013/2014);Liguria;cheFare 2 (2013/2014);Consorzio;CINEMA, MUSICA, TEATRO
119-cheFare 2 (2013/2014);Puglia;cheFare 2 (2013/2014);Altro tipo di organizzazione;EDITORIA, EVENTI
120-cheFare 2 (2013/2014);Campania;cheFare 2 (2013/2014);Associazione;COMMERCI, COMMUNIT, INTEG_SO
121-cheFare 2 (2013/2014);Toscana;cheFare 2 (2013/2014);Associazione culturale;LETTERAT
122-cheFare 2 (2013/2014);Lombardia;cheFare 2 (2013/2014);Associazione;BENI_CUL, EVENTI, RIV_ONLI
123-cheFare 2 (2013/2014);Sicilia;cheFare 2 (2013/2014);S.r.l.;ARTIPLAS, COMMERCI, DESIGN, DIDATTIC, EVENTI, FORMAZIO, INTEG_SO
124-cheFare 2 (2013/2014);Lazio;cheFare 2 (2013/2014);società cooperativa a r.l.;COWORKIN, PERF_ART, TEATRO
125-cheFare 2 (2013/2014);Piemonte e Valle dAosta;cheFare 2 (2013/2014);Associazione;ANTROPOL, EVENTI, INTEG_SO
126-cheFare 2 (2013/2014);Veneto;cheFare 2 (2013/2014);Comitato;AGRICOLT, BENI_CUL, ENOGASTR, EVENTI, TURISMO
127-cheFare 2 (2013/2014);Toscana;cheFare 2 (2013/2014);S.r.l.;INTEG_SO, SOCIALNE, TURISMO
128-cheFare 2 (2013/2014);Puglia;cheFare 2 (2013/2014);S.r.l.;EDITORIA, MUSICA, PERF_ART
129-cheFare 2 (2013/2014);Lombardia;cheFare 2 (2013/2014);Associazione;COMMUNIT, COWORKIN, MODA
130-cheFare 2 (2013/2014);Campania;cheFare 2 (2013/2014);Associazione di Promozione Sociale/Consorzio di cooperative sociali;BENI_CUL, COMMUNIT, INTEG_SO
131-cheFare 2 (2013/2014);Toscana;cheFare 2 (2013/2014);società cooperativa a r.l.;BENI_CUL, MUSEI, TURISMO
132-cheFare 2 (2013/2014);Campania;cheFare 2 (2013/2014);Fondazione;APP_SOFT, BENI_CUL, TURISMO
133-cheFare 2 (2013/2014);Lombardia;cheFare 2 (2013/2014);Associazione di Promozione Sociale/Consorzio di cooperative sociali;INTEG_SO, SPORT, WEB
134-cheFare 2 (2013/2014);Liguria;cheFare 2 (2013/2014);S.r.l.;COMMUNIT, WEB, TURISMO
135-cheFare 2 (2013/2014);Lombardia;cheFare 2 (2013/2014);S.r.l.;CINEMA, SOCIALNE, VIDEO
136-cheFare 2 (2013/2014);Liguria;cheFare 2 (2013/2014);Associazione culturale;BENI_CUL, DIDATTIC, MUSEI
137-cheFare 2 (2013/2014);Lombardia;cheFare 2 (2013/2014);Associazione;APP_SOFT, COMMUNIT, CROWDFUN, FUNDRAIS, INTEG_SO, SOCIOLOG, WEB
138-cheFare 2 (2013/2014);Lazio;cheFare 2 (2013/2014);S.r.l.;BENI_CUL, WEB, TURISMO
139-cheFare 2 (2013/2014);Emilia Romagna;cheFare 2 (2013/2014);S.r.l.;COMMUNIT, OPENDATA, WEB
140-cheFare 2 (2013/2014);Toscana;cheFare 2 (2013/2014);Associazione culturale;ARCHITET, EVENTI
141-cheFare 2 (2013/2014);Puglia;cheFare 2 (2013/2014);società cooperativa a r.l.;BENI_CUL, INTEG_SO, PITTURA, PSICOLOG
142-cheFare 2 (2013/2014);Emilia Romagna;cheFare 2 (2013/2014);Fondazione di partecipazione;EDITORIA, FORMAZIO, FOTOGRAF
143-cheFare 2 (2013/2014);Lazio;cheFare 2 (2013/2014);Fondazione di partecipazione;CINEMA, MUSICA, TEATRO
144-cheFare 2 (2013/2014);Toscana;cheFare 2 (2013/2014);Fondazione;BENI_CUL, CINEMA, MUSICA
145-cheFare 2 (2013/2014);Liguria;cheFare 2 (2013/2014);Associazione di Promozione Sociale/Consorzio di cooperative sociali;DANZA, EDITORIA, EVENTI, LETTERAT, MUSICA, PERF_ART, TEATRO
146-cheFare 2 (2013/2014);Trentino Alto Adige;cheFare 2 (2013/2014);Società cooperativa;DIDATTIC, FORMAZIO, INFANZIA, INTEG_SO, PEDAGOGI, PSICOLOG
147-cheFare 2 (2013/2014);Piemonte e Valle dAosta;cheFare 2 (2013/2014);Associazione;AGRICOLT, ENOGASTR, INTEG_SO, TURISMO
148-cheFare 2 (2013/2014);Campania;cheFare 2 (2013/2014);Associazione culturale;DESIGN, FORMAZIO
149-cheFare 2 (2013/2014);Piemonte e Valle dAosta;cheFare 2 (2013/2014);Altro tipo di organizzazione;EDITORIA, INTEG_SO, TURISMO
150-cheFare 2 (2013/2014);Lombardia;cheFare 2 (2013/2014);S.r.l.;COMMUNIT, RIV_CART, WEB
151-cheFare 2 (2013/2014);Puglia;cheFare 2 (2013/2014);Associazione culturale;ARCHITET, FILOSOFI, FORMAZIO, TURISMO
152-cheFare 2 (2013/2014);Campania;cheFare 2 (2013/2014);Associazione di Promozione Sociale/Consorzio di cooperative sociali;DESIGN, ENOGASTR, EVENTI, INTEG_SO, TURISMO
153-cheFare 2 (2013/2014);Sicilia;cheFare 2 (2013/2014);Associazione culturale;FORMAZIO, INTEG_SO, PITTURA
154-cheFare 2 (2013/2014);Veneto;cheFare 2 (2013/2014);Associazione;RIV_ONLI, VIDEO, WEB
155-cheFare 2 (2013/2014);Piemonte e Valle dAosta;cheFare 2 (2013/2014);Associazione culturale;EVENTI, TEATRO
156-cheFare 2 (2013/2014);Lombardia;cheFare 2 (2013/2014);Associazione;COMMUNIT, SOCIOLOG
157-cheFare 2 (2013/2014);Toscana;cheFare 2 (2013/2014);Associazione;ARTIPLAS, FORMAZIO, MUSICA, PERF_ART
158-cheFare 2 (2013/2014);Emilia Romagna;cheFare 2 (2013/2014);S.r.l.;EDITORIA, EVENTI, FESTIVAL, WEB
159-cheFare 2 (2013/2014);Piemonte e Valle dAosta;cheFare 2 (2013/2014);società cooperativa a r.l.;CINEMA, MUSICA, RADIO
160-cheFare 2 (2013/2014);Toscana;cheFare 2 (2013/2014);Associazione;INTEG_SO, PSICOLOG, TEATRO
161-cheFare 2 (2013/2014);Lazio;cheFare 2 (2013/2014);Associazione culturale;ARCHITET, FOTOGRAF
162-cheFare 2 (2013/2014);Piemonte e Valle dAosta;cheFare 2 (2013/2014);Associazione di Promozione Sociale/Consorzio di cooperative sociali;COMMUNIT, FORMAZIO, INTEG_SO
163-cheFare 2 (2013/2014);Lazio;cheFare 2 (2013/2014);Associazione;AGRICOLT, ARCHEOLO, BENI_CUL, DANZA, ENOGASTR, EVENTI, TEATRO, VIDEO, WEB, TURISMO
164-cheFare 2 (2013/2014);Lazio;cheFare 2 (2013/2014);Associazione culturale;DIDATTIC, INTEG_SO, SOCIOLOG
165-cheFare 2 (2013/2014);Lombardia;cheFare 2 (2013/2014);Associazione;CINEMA, MUSICA, TEATRO
166-cheFare 2 (2013/2014);Piemonte e Valle dAosta;cheFare 2 (2013/2014);Associazione culturale;ARTIPLAS, FORMAZIO, INTEG_SO
167-cheFare 2 (2013/2014);Lombardia;cheFare 2 (2013/2014);Società cooperativa;BIBLIOTE, FESTIVAL, LETTERAT
168-cheFare 2 (2013/2014);Toscana;cheFare 2 (2013/2014);Associazione culturale;COMMUNIT, FOTOGRAF, RIV_ONLI, SOCIALNE, VIDEO, WEB
169-cheFare 2 (2013/2014);Emilia Romagna;cheFare 2 (2013/2014);Associazione culturale;APP_SOFT, FORMAZIO, PERF_ART, WEB
170-cheFare 2 (2013/2014);Emilia Romagna;cheFare 2 (2013/2014);Associazione;ARTIPLAS, COWORKIN, WEB
171-cheFare 2 (2013/2014);Emilia Romagna;cheFare 2 (2013/2014);Associazione di Promozione Sociale/Consorzio di cooperative sociali;COMMUNIT, FESTIVAL
172-cheFare 2 (2013/2014);Toscana;cheFare 2 (2013/2014);Associazione culturale;DANZA, PERF_ART, TEATRO
173-cheFare 2 (2013/2014);Lazio;cheFare 2 (2013/2014);Associazione culturale;EVENTI, SOCIALNE
174-cheFare 2 (2013/2014);Piemonte e Valle dAosta;cheFare 2 (2013/2014);Fondazione;APP_SOFT, BENI_CUL, INTEG_SO
175-cheFare 2 (2013/2014);Toscana;cheFare 2 (2013/2014);Organizzazione di volontariato/O.N.G.;AGRICOLT, FORMAZIO, INTEG_SO
