ID;ID_PROG;PROV;TEAM;EDIZIONE;Ambito;AGIURID
226-1;226;Monza e della Brianza;5;iC2;PATRIMON, SPETTAC, PARTECIP, PROMOZ; 
226-2;226;Non rilevabile; ;iC2;; 
226-3;226;Non rilevabile; ;iC2;; 
226-4;226;Non rilevabile; ;iC2;; 
226-5;226;Non rilevabile; ;iC2;; 
226-6;226;Non rilevabile; ;iC2;; 
227-1;227;Monza e della Brianza;Non applicabile;iC2;ARTI_VIS, PATRIMON, FRUIZ, PROMOZ;For Profit
228-1;228;Altra provincia italiana;Non applicabile;iC2;PATRIMON, AM_ALTRO, FRUIZ, PROMOZ; 
229-1;229;Pavia;4;iC2;ARTI_VIS, EDITORIA, DIST_COM, PARTECIP; 
229-2;229;Non rilevabile; ;iC2;; 
229-3;229;Non rilevabile; ;iC2;; 
229-4;229;Non rilevabile; ;iC2;; 
229-5;229;Non rilevabile; ;iC2;; 
230-1;230;Varese;1;iC2;ARTI_VIS, PATRIMON, EDUCAZ, FRUIZ; 
230-2;230;Non rilevabile; ;iC2;; 
231-1;231;Milano;3;iC2;ARTI_VIS, SPETTAC, FRUIZ, PROMOZ; 
231-2;231;Non rilevabile; ;iC2;; 
231-3;231;Non rilevabile; ;iC2;; 
231-4;231;Non rilevabile; ;iC2;; 
232-1;232;Lecco;Non applicabile;iC2;PATRIMON, DIST_COM;For Profit
233-1;233;Altra provincia italiana;2;iC2;EDITORIA, FUNDRAIS, PRODUZ; 
233-2;233;Non rilevabile; ;iC2;; 
233-3;233;Non rilevabile; ;iC2;; 
234-1;234;Lecco;Non applicabile;iC2;ARTIGIAN, AM_ALTRO, EDUCAZ, PARTECIP; 
235-1;235;Bergamo;Non applicabile;iC2;ARTI_VIS, PATRIMON, PARTECIP, RIC_FORM;No Profit
236-1;236;Bergamo;2;iC2;ARTI_VIS, PATRIMON, PARTECIP, PROMOZ; 
236-2;236;Non rilevabile; ;iC2;; 
236-3;236;Non rilevabile; ;iC2;; 
237-1;237;Milano;1;iC2;AUDIOVIS, FUNDRAIS, PRODUZ; 
237-2;237;Non rilevabile; ;iC2;; 
238-1;238;Bergamo;Non applicabile;iC2;EDITORIA, SPETTAC, EDUCAZ, PARTECIP; 
239-1;239;Milano;Non applicabile;iC2;ARTI_VIS, PATRIMON, PROMOZ;No Profit
240-1;240;Milano;2;iC2;AUDIOVIS, SPETTAC, FUNDRAIS, PRODUZ; 
240-2;240;Non rilevabile; ;iC2;; 
240-3;240;Non rilevabile; ;iC2;; 
241-1;241;Milano;Non applicabile;iC2;EDITORIA, AM_ALTRO, EDUCAZ, RIC_FORM;No Profit
242-1;242;Milano;Non applicabile;iC2;ARCH_BIB, SPETTAC, FRUIZ; 
243-1;243;Milano;2;iC2;AUDIOVIS, PATRIMON, FRUIZ, PROMOZ; 
243-2;243;Non rilevabile; ;iC2;; 
243-3;243;Non rilevabile; ;iC2;; 
244-1;244;Milano;Non applicabile;iC2;EDITORIA, SPETTAC, FRUIZ, RIC_FORM;No Profit
245-1;245;Milano;2;iC2;ARTI_VIS, PATRIMON, FRUIZ; 
245-2;245;Non rilevabile; ;iC2;; 
245-3;245;Non rilevabile; ;iC2;; 
246-1;246;Brescia;4;iC2;AUDIOVIS, PATRIMON, FRUIZ, PROMOZ; 
246-2;246;Non rilevabile; ;iC2;; 
246-3;246;Non rilevabile; ;iC2;; 
246-4;246;Non rilevabile; ;iC2;; 
246-5;246;Non rilevabile; ;iC2;; 
247-1;247;Brescia;Non applicabile;iC2;EDITORIA, PATRIMON, EDUCAZ, PROMOZ; 
248-1;248;Milano;2;iC2;PATRIMON, AM_ALTRO, FRUIZ, PARTECIP; 
248-2;248;Non rilevabile; ;iC2;; 
248-3;248;Non rilevabile; ;iC2;; 
249-1;249;Altra provincia lombarda;Non applicabile;iC2;ARTI_VIS, PATRIMON, CONSERV, FRUIZ; 
250-1;250;Milano;2;iC2;AM_ALTRO, EDUCAZ, PARTECIP; 
250-2;250;Non rilevabile; ;iC2;; 
250-3;250;Non rilevabile; ;iC2;; 
251-1;251;Como;Non applicabile;iC2;AM_ALTRO, EDUCAZ, PROMOZ; 
252-1;252;Milano;2;iC2;ARTI_VIS, PATRIMON, FRUIZ, PARTECIP; 
252-2;252;Non rilevabile; ;iC2;; 
252-3;252;Non rilevabile; ;iC2;; 
253-1;253;Milano;3;iC2;ARCH_BIB, PATRIMON, FUNDRAIS, PROMOZ; 
253-2;253;Non rilevabile; ;iC2;; 
253-3;253;Non rilevabile; ;iC2;; 
253-4;253;Non rilevabile; ;iC2;; 
254-1;254;Milano;Non applicabile;iC2;PATRIMON, FRUIZ, PROMOZ;For Profit
