EDIZIONE,ID.PROG,ID.TEAM,PROV,ETA.CL,SESSO,TITSTUD,LAUREA,PROF,SETPROF,MODPART,TEAM,AGIURID,T.PROG,AMBITO1,AMBITO2,ARCHITET,ARCH.BIB,ARTI.VIS,ARTIGIAN,AUDIOVIS,DESIGN,EDITORIA,PATRIMON,SPETTAC,AM.ALTRO,REPLICA,REP.DOVE,REP.SETT,REP.SE.Q,AVANZAM,AVANZ.D,IMPATTO1,IMPATTO2,ACCESSO,CONSERV,DIST.COM,EDUCAZ,FRUIZ,FUNDRAIS,PARTECIP,PRODUZ,PROMOZ,RIC.FORM,INF.PROG1,INF.PROG2,CARENZA1,CARENZA2,CARENZA3,ARTISTI,TURISTI,STUDENTI,FAMIGLIE,SCUO.UNI,APPASS,OPERAT,PROF.CRE,IST.CULT,PA,IMPRESE,TAR.ALTR,FILTR.PR,filter_$
iC1,6,Proponente,Monza e della Brianza,25-29 anni,Femmina,Laurea,"Scienze dell’antichità, filologico-letterarie e storico-artistiche","Docenti, ricercatori e tecnici laureati nell'università",Istruzione post-secondaria universitaria e non universitaria,A titolo personale,Non applicabile,No Profit,Attività,"Patrimonio (beni culturali, archeologia, paesaggio)",Artigianato (produzione di manufatti), , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Italia,Stesso ambito,Non applicabile,Concept,Non applicabile,Fruizione,Conservazione, , , , , , , , , , ,Cultura,Non applicabile,Risorse economiche,Marketing,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,7,Proponente,Pavia,30-34 anni,Femmina,Laurea,"Scienze dell’antichità, filologico-letterarie e storico-artistiche","Specialisti in discipline linguistiche, letterarie e documentali","Attività di biblioteche, archivi, musei ed altre attività culturali",In rappresentanza di un team informale,2,No Profit,Attività,Artigianato (produzione di manufatti),Non applicabile, , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Italia,Stesso ambito,Non applicabile,Concept,Non applicabile,Fruizione,Produzione, , , , , , , , , , ,Cultura,Ambiente,Progettazione,Networking,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,7,2,Non rilevabile,Non rilevabile,Non rilevabile,Laurea,"Scienze dell’antichità, filologico-letterarie e storico-artistiche","Docenti, ricercatori e tecnici laureati nell'università","Attività di biblioteche, archivi, musei ed altre attività culturali", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,7,3,Non rilevabile,Non rilevabile,Non rilevabile,Laurea,"Scienze dell’antichità, filologico-letterarie e storico-artistiche","Docenti, ricercatori e tecnici laureati nell'università","Attività di biblioteche, archivi, musei ed altre attività culturali", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,8,Proponente,Milano,30-34 anni,Femmina,Laurea,"Scienze dell’antichità, filologico-letterarie e storico-artistiche","Specialisti in discipline linguistiche, letterarie e documentali",Attività manifatturiere; commercio all'ingrosso e al dettaglio; attività dei servizi di alloggio e di ristorazione,In rappresentanza di un team informale,12,No Profit,Digitale,"Spettacolo dal vivo (teatro, danza, musica live)",Non applicabile, , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Estero,Stesso ambito,Non applicabile,Sperimentazione,Italia,Accesso,Non applicabile, , , , , , , , , , ,Cultura,Non applicabile,Progettazione,Marketing,Risorse economiche, , , , , , , , , , , , ,Selezionato,Selected
iC1,8,2,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Specialisti in discipline linguistiche, letterarie e documentali",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,8,3,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Specialisti in discipline linguistiche, letterarie e documentali",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,8,4,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Tecnici dei servizi culturali,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,8,5,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Specialisti in discipline artistico-espressive,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,8,6,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Specialisti in scienze matematiche, informatiche, chimiche, fisiche e naturali",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,8,7,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Tecnici di apparecchiature ottiche e audio-video,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,8,8,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Specialisti in discipline linguistiche, letterarie e documentali",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,8,9,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Tecnici di apparecchiature ottiche e audio-video,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
