EDIZIONE,ID.PROG,ID.TEAM,PROV,ETA.CL,SESSO,TITSTUD,LAUREA,PROF,SETPROF,MODPART,TEAM,AGIURID,T.PROG,AMBITO1,AMBITO2,ARCHITET,ARCH.BIB,ARTI.VIS,ARTIGIAN,AUDIOVIS,DESIGN,EDITORIA,PATRIMON,SPETTAC,AM.ALTRO,REPLICA,REP.DOVE,REP.SETT,REP.SE.Q,AVANZAM,AVANZ.D,IMPATTO1,IMPATTO2,ACCESSO,CONSERV,DIST.COM,EDUCAZ,FRUIZ,FUNDRAIS,PARTECIP,PRODUZ,PROMOZ,RIC.FORM,INF.PROG1,INF.PROG2,CARENZA1,CARENZA2,CARENZA3,ARTISTI,TURISTI,STUDENTI,FAMIGLIE,SCUO.UNI,APPASS,OPERAT,PROF.CRE,IST.CULT,PA,IMPRESE,TAR.ALTR,FILTR.PR,filter_$
iC1,44,2,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Altre professioni intellettuali, scientifiche e di elevata specializzazione",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,44,3,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Specialisti delle scienze gestionali, commerciali e bancarie",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,44,4,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Specialisti delle scienze gestionali, commerciali e bancarie",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,44,5,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Specialisti in scienze matematiche, informatiche, chimiche, fisiche e naturali",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,45,Proponente,Milano,25-29 anni,Femmina,Laurea,Scienze politiche e sociali,Altri specialisti dell'educazione e della formazione,Sanità e assistenza sociale,A titolo personale,Non applicabile,Non rilevabile,Attività,"Patrimonio (beni culturali, archeologia, paesaggio)",Non applicabile, , , , , , , , , , ,Idea completamente nuova,Non applicabile,Non applicabile,Non applicabile,Progettazione,Italia,Fundraising,Fruizione, , , , , , , , , , ,Cultura,Welfare/sociale,Competenze,Marketing,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,46,Proponente,Milano,30-34 anni,Maschio,Laurea,Ingegneria civile e Architettura,"Legislatori, imprenditori e alta dirigenza",Attività di consulenza gestionale,In rappresentanza di un team informale,4,No Profit,Attività,"Patrimonio (beni culturali, archeologia, paesaggio)",Design (progettazione di oggetti), , , , , , , , , , ,Idea completamente nuova,Non applicabile,Non applicabile,Non applicabile,Progettazione,Italia,Fruizione,Non applicabile, , , , , , , , , , ,Cultura,Non applicabile,Competenze,Risorse economiche,Marketing, , , , , , , , , , , , ,Selezionato,Selected
iC1,46,2,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Specialisti delle scienze gestionali, commerciali e bancarie",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,46,3,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Specialisti in scienze matematiche, informatiche, chimiche, fisiche e naturali",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,46,4,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Specialisti in discipline linguistiche, letterarie e documentali",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,46,5,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Specialisti in scienze sociali,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,47,Proponente,Milano,25-29 anni,Maschio,Laurea,Scienze politiche e sociali,"Legislatori, imprenditori e alta dirigenza",Attività di altre organizzazioni associative,In rappresentanza di un’organizzazione,Non applicabile,No Profit,Digitale,Altro,Non applicabile, , , , , , , , , , ,Idea completamente nuova,Non applicabile,Non applicabile,Non applicabile,Diffusione & sviluppo,Italia,Produzione,Accesso, , , , , , , , , , ,Cultura,Welfare/sociale,Competenze,Non applicabile,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,48,Proponente,Lecco,40-44 anni,Femmina,Post-laurea,"Scienze dell’antichità, filologico-letterarie e storico-artistiche","Legislatori, imprenditori e alta dirigenza","Altre attività professionali, scientifiche e tecniche",In rappresentanza di un team informale,2,No Profit,Digitale,"Patrimonio (beni culturali, archeologia, paesaggio)",Non applicabile, , , , , , , , , , ,Idea completamente nuova,Non applicabile,Non applicabile,Non applicabile,Progettazione,Italia,Fruizione,Non applicabile, , , , , , , , , , ,Cultura,Non applicabile,Progettazione,Non applicabile,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,48,2,Non rilevabile,Non rilevabile,Non rilevabile,Laurea,Ingegneria civile e Architettura,"Architetti, pianificatori, paesaggisti e specialisti del recupero e della conservazione del territorio",Altra istruzione, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,48,3,Non rilevabile,Non rilevabile,Non rilevabile,Laurea,Ingegneria civile e Architettura,"Architetti, pianificatori, paesaggisti e specialisti del recupero e della conservazione del territorio","Attività degli studi di architettura, ingegneria ed altri studi tecnici", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,49,Proponente,Bergamo,25-29 anni,Femmina,Laurea,Ingegneria civile e Architettura,Specialisti in discipline artistico-espressive,Attività manifatturiere; commercio all'ingrosso e al dettaglio; attività dei servizi di alloggio e di ristorazione,In rappresentanza di un team informale,3,No Profit,Attività,Design (progettazione di oggetti),"Arti visive (pittura, scultura, fotografia, arti plastiche)", , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Estero,Stesso ambito,Non applicabile,Progettazione,Italia,Educazione,Fruizione, , , , , , , , , , ,Cultura,Non applicabile,Networking,Risorse economiche,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,49,2,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Specialisti in discipline artistico-espressive,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,49,3,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Specialisti in discipline artistico-espressive,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,49,4,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Specialisti in discipline artistico-espressive,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,50,Proponente,Milano,30-34 anni,Femmina,Post-laurea,Scienze economiche e statistiche,"Specialisti delle scienze gestionali, commerciali e bancarie",Altre attività,In rappresentanza di un team informale,2,No Profit,Spazio,"Patrimonio (beni culturali, archeologia, paesaggio)",Non applicabile, , , , , , , , , , ,Idea completamente nuova,Non applicabile,Non applicabile,Non applicabile,Concept,Non applicabile,Fruizione,Non applicabile, , , , , , , , , , ,Cultura,Non applicabile,Progettazione,Competenze,Marketing, , , , , , , , , , , , ,Selezionato,Selected
iC1,50,2,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Specialisti in discipline artistico-espressive,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,50,3,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Altre professioni tecniche in campo scientifico, ingegneristico e della produzione",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,51,Proponente,Milano,35-39 anni,Femmina,Post-laurea,"Scienze dell’antichità, filologico-letterarie e storico-artistiche","Specialisti in discipline linguistiche, letterarie e documentali","Attività di biblioteche, archivi, musei ed altre attività culturali",In rappresentanza di un’organizzazione,Non applicabile,No Profit,Attività,"Arti visive (pittura, scultura, fotografia, arti plastiche)",Non applicabile, , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Estero,Stesso ambito,Non applicabile,Concept,Non applicabile,Accesso,Fruizione, , , , , , , , , , ,Cultura,Non applicabile,Competenze,Risorse economiche,Marketing, , , , , , , , , , , , ,Selezionato,Selected
iC1,52,Proponente,Como,40-44 anni,Maschio,Non rilevabile,Non rilevabile,"Specialisti delle scienze gestionali, commerciali e bancarie","Noleggio, agenzie di viaggio, servizi di supporto alle imprese",In rappresentanza di un’organizzazione,Non applicabile,No Profit,Spazio,Altro,Non applicabile, , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Italia,Stesso ambito,Non applicabile,Progettazione,Italia,Educazione,Non applicabile, , , , , , , , , , ,Cultura,Ambiente,Spazio,Non applicabile,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,53,Proponente,Milano,40-44 anni,Maschio,Diploma o titolo di studio inferiore,Non applicabile,Specialisti in discipline artistico-espressive,Attività di altre organizzazioni associative,In rappresentanza di un team informale,2,No Profit,Spazio,"Spettacolo dal vivo (teatro, danza, musica live)",Non applicabile, , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Italia,Stesso ambito,Non applicabile,Progettazione,Italia,Produzione,Non applicabile, , , , , , , , , , ,Cultura,Welfare/sociale,Progettazione,Marketing,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,53,2,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,53,3,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,54,Proponente,Milano,50-54 anni,Femmina,Laurea,Scienze politiche e sociali,"Specialisti delle scienze gestionali, commerciali e bancarie","Attività di biblioteche, archivi, musei ed altre attività culturali",A titolo personale,Non applicabile,No Profit,Digitale,"Patrimonio (beni culturali, archeologia, paesaggio)",Non applicabile, , , , , , , , , , ,Idea completamente nuova,Non applicabile,Non applicabile,Non applicabile,Concept,Non applicabile,Accesso,Non applicabile, , , , , , , , , , ,Cultura,Non applicabile,Networking,Progettazione,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,55,Proponente,Milano,30-34 anni,Femmina,Laurea,"Scienze dell’antichità, filologico-letterarie e storico-artistiche",Specialisti in discipline artistico-espressive,"Attività creative, artistiche e di intrattenimento",In rappresentanza di un team informale,1,No Profit,Attività,"Spettacolo dal vivo (teatro, danza, musica live)",Non applicabile, , , , , , , , , , ,Idea completamente nuova,Non applicabile,Non applicabile,Non applicabile,Concept,Non applicabile,Fruizione,Produzione, , , , , , , , , , ,Cultura,Non applicabile,Spazio,Risorse economiche,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,55,2,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Specialisti in discipline artistico-espressive,"Attività creative, artistiche e di intrattenimento", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,56,Proponente,Altra provincia italiana,30-34 anni,Maschio,Laurea,Scienze economiche e statistiche,Specialisti in discipline artistico-espressive,"Edizione di libri, periodici ed altre attività editoriali",A titolo personale,Non applicabile,Non rilevabile,Attività,Altro,Non applicabile, , , , , , , , , , ,Idea completamente nuova,Non applicabile,Non applicabile,Non applicabile,Progettazione,Italia,Produzione,Non applicabile, , , , , , , , , , ,Cultura,Non applicabile,Marketing,Non applicabile,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,57,Proponente,Milano,40-44 anni,Maschio,Diploma o titolo di studio inferiore,Non applicabile,"Altre professioni tecniche in campo scientifico, ingegneristico e della produzione",Attività di altre organizzazioni associative,A titolo personale,Non applicabile,No Profit,Digitale,"Patrimonio (beni culturali, archeologia, paesaggio)",Non applicabile, , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Italia,Altro ambito,Altro,Sperimentazione,Italia,Educazione,Non applicabile, , , , , , , , , , ,Cultura,Welfare/sociale,Marketing,Risorse economiche,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,58,Proponente,Milano,40-44 anni,Femmina,Laurea,"Scienze dell’antichità, filologico-letterarie e storico-artistiche",Specialisti in discipline artistico-espressive,"Attività creative, artistiche e di intrattenimento",In rappresentanza di un’organizzazione,Non applicabile,No Profit,Attività,"Spettacolo dal vivo (teatro, danza, musica live)",Non applicabile, , , , , , , , , , ,Idea completamente nuova,Non applicabile,Non applicabile,Non applicabile,Concept,Non applicabile,Produzione,Accesso, , , , , , , , , , ,Cultura,Non applicabile,Risorse economiche,Non applicabile,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,59,Proponente,Bergamo,35-39 anni,Femmina,Laurea,"Scienze dell’antichità, filologico-letterarie e storico-artistiche",Altre professioni,Attività manifatturiere; commercio all'ingrosso e al dettaglio; attività dei servizi di alloggio e di ristorazione,A titolo personale,Non applicabile,Non rilevabile,Spazio,Altro,Non applicabile, , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Italia,Stesso ambito,Non applicabile,Concept,Non applicabile,Accesso,Non applicabile, , , , , , , , , , ,Cultura,Welfare/sociale,Spazio,Competenze,Risorse economiche, , , , , , , , , , , , ,Selezionato,Selected
iC1,60,Proponente,Altra provincia italiana,25-29 anni,Maschio,Post-laurea,"Scienze storiche, filosofiche, pedagogiche e psicologiche","Professioni tecniche delle attività turistiche, ricettive ed assimilate","Attività di biblioteche, archivi, musei ed altre attività culturali",In rappresentanza di un team informale,1,No Profit,Attività,"Patrimonio (beni culturali, archeologia, paesaggio)",Non applicabile, , , , , , , , , , ,Idea completamente nuova,Non applicabile,Non applicabile,Non applicabile,Concept,Non applicabile,Fruizione,Accesso, , , , , , , , , , ,Cultura,Non applicabile,Competenze,Non applicabile,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,60,2,Non rilevabile,Non rilevabile,Non rilevabile,Laurea,"Scienze storiche, filosofiche, pedagogiche e psicologiche","Professori di pre-primaria, primaria, secondaria e post-secondaria e professioni assimilate",Altra istruzione, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,61,Proponente,Cremona,30-34 anni,Femmina,Laurea,"Scienze dell’antichità, filologico-letterarie e storico-artistiche",Altri specialisti dell'educazione e della formazione,Altra istruzione,A titolo personale,Non applicabile,No Profit,Spazio,"Arti visive (pittura, scultura, fotografia, arti plastiche)",Non applicabile, , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Estero,Stesso ambito,Non applicabile,Concept,Non applicabile,Produzione,Fruizione, , , , , , , , , , ,Cultura,Welfare/sociale,Spazio,Networking,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,62,Proponente,Milano,35-39 anni,Maschio,Laurea,Ingegneria civile e Architettura,"Architetti, pianificatori, paesaggisti e specialisti del recupero e della conservazione del territorio","Attività degli studi di architettura, ingegneria ed altri studi tecnici",In rappresentanza di un’organizzazione,Non applicabile,No Profit,Spazio,Altro,Non applicabile, , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Italia,Stesso ambito,Non applicabile,Sperimentazione,Italia,Produzione,Accesso, , , , , , , , , , ,Cultura,Welfare/sociale,Marketing,Non applicabile,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,63,Proponente,Milano,45-49 anni,Maschio,Laurea,Ingegneria civile e Architettura,"Architetti, pianificatori, paesaggisti e specialisti del recupero e della conservazione del territorio","Attività creative, artistiche e di intrattenimento",A titolo personale,Non applicabile,Non rilevabile,Digitale,Design (progettazione di oggetti),"Editoria (letteratura, scrittura)", , , , , , , , , , ,Idea completamente nuova,Non applicabile,Non applicabile,Non applicabile,Sperimentazione,Italia,Fruizione,Non applicabile, , , , , , , , , , ,Cultura,Non applicabile,Risorse economiche,Competenze,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,64,Proponente,Milano,45-49 anni,Femmina,Post-laurea,"Scienze dell’antichità, filologico-letterarie e storico-artistiche",Specialisti in discipline artistico-espressive,"Attività di biblioteche, archivi, musei ed altre attività culturali",In rappresentanza di un team informale,2,No Profit,Attività,"Arti visive (pittura, scultura, fotografia, arti plastiche)",Design (progettazione di oggetti), , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Estero,Stesso ambito,Non applicabile,Concept,Non applicabile,Educazione,Fruizione, , , , , , , , , , ,Cultura,Non applicabile,Networking,Marketing,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,64,2,Non rilevabile,Non rilevabile,Non rilevabile,Laurea,"Scienze dell’antichità, filologico-letterarie e storico-artistiche",Non rilevabile,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,64,3,Non rilevabile,Non rilevabile,Non rilevabile,Laurea,Ingegneria industriale e dell’informazione,Non rilevabile,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,65,Proponente,Milano,25-29 anni,Femmina,Laurea,Scienze politiche e sociali,"Specialisti delle scienze gestionali, commerciali e bancarie",Attività di consulenza gestionale,In rappresentanza di un team informale,4,No Profit,Attività,Artigianato (produzione di manufatti),Non applicabile, , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Italia,Stesso ambito,Non applicabile,Concept,Non applicabile,Accesso,Non applicabile, , , , , , , , , , ,Cultura,Non applicabile,Competenze,Risorse economiche,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,65,2,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Specialisti delle scienze gestionali, commerciali e bancarie",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,65,3,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Specialisti in discipline artistico-espressive,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,65,4,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Specialisti delle scienze gestionali, commerciali e bancarie",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,65,5,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Specialisti in scienze matematiche, informatiche, chimiche, fisiche e naturali",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,66,Proponente,Milano,30-34 anni,Maschio,Laurea,Scienze economiche e statistiche,Non rilevabile,Non rilevabile,In rappresentanza di un’organizzazione,Non applicabile,No Profit,Attività,"Patrimonio (beni culturali, archeologia, paesaggio)",Design (progettazione di oggetti), , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Estero,Stesso ambito,Non applicabile,Sperimentazione,Italia,Produzione,Fruizione, , , , , , , , , , ,Cultura,Welfare/sociale,Progettazione,Networking,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,67,Proponente,Milano,35-39 anni,Maschio,Laurea,"Scienze dell’antichità, filologico-letterarie e storico-artistiche",Specialisti in discipline artistico-espressive,"Attività di biblioteche, archivi, musei ed altre attività culturali",In rappresentanza di un team informale,5,For Profit,Spazio,"Arti visive (pittura, scultura, fotografia, arti plastiche)",Non applicabile, , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Italia,Stesso ambito,Non applicabile,Sperimentazione,Italia,Produzione,Non applicabile, , , , , , , , , , ,Cultura,Non applicabile,Competenze,Marketing,Risorse economiche, , , , , , , , , , , , ,Selezionato,Selected
iC1,67,2,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Specialisti in discipline artistico-espressive,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,67,3,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Specialisti in discipline linguistiche, letterarie e documentali",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,67,4,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Specialisti in discipline artistico-espressive,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,67,5,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Specialisti in discipline artistico-espressive,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,67,6,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Specialisti in scienze matematiche, informatiche, chimiche, fisiche e naturali",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,68,Proponente,Milano,25-29 anni,Femmina,Laurea,"Scienze dell’antichità, filologico-letterarie e storico-artistiche","Specialisti in discipline linguistiche, letterarie e documentali","Attività di biblioteche, archivi, musei ed altre attività culturali",In rappresentanza di un team informale,1,Non rilevabile,Digitale,"Patrimonio (beni culturali, archeologia, paesaggio)",Non applicabile, , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Italia,Stesso ambito,Non applicabile,Concept,Non applicabile,Accesso,Non applicabile, , , , , , , , , , ,Cultura,Non applicabile,Marketing,Non applicabile,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,68,2,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Altri specialisti dell'educazione e della formazione,"Attività di biblioteche, archivi, musei ed altre attività culturali", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,69,Proponente,Milano,25-29 anni,Femmina,Diploma o titolo di studio inferiore,Non applicabile,"Specialisti in discipline linguistiche, letterarie e documentali","Edizione di libri, periodici ed altre attività editoriali",In rappresentanza di un’organizzazione,Non applicabile,No Profit,Attività,Artigianato (produzione di manufatti),Non applicabile, , , , , , , , , , ,Idea completamente nuova,Non applicabile,Non applicabile,Non applicabile,Diffusione & sviluppo,Italia,Fruizione,Non applicabile, , , , , , , , , , ,Cultura,Non applicabile,Competenze,Marketing,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,70,Proponente,Milano,25-29 anni,Maschio,Laurea,Altri settori scientifico-disciplinari,Specialisti in discipline artistico-espressive,"Attività di biblioteche, archivi, musei ed altre attività culturali",In rappresentanza di un team informale,3,For Profit,Digitale,"Patrimonio (beni culturali, archeologia, paesaggio)","Spettacolo dal vivo (teatro, danza, musica live)", , , , , , , , , , ,Idea completamente nuova,Non applicabile,Non applicabile,Non applicabile,Progettazione,Italia,Accesso,Fruizione, , , , , , , , , , ,Cultura,Non applicabile,Competenze,Risorse economiche,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,70,2,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Specialisti delle scienze gestionali, commerciali e bancarie",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,70,3,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,"Specialisti in discipline linguistiche, letterarie e documentali",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,70,4,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Non rilevabile,Specialisti in discipline artistico-espressive,Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,71,Proponente,Bergamo,25-29 anni,Maschio,Laurea,"Scienze dell’antichità, filologico-letterarie e storico-artistiche",Altre professioni tecniche,Altre attività,In rappresentanza di un team informale,1,Non rilevabile,Attività,"Patrimonio (beni culturali, archeologia, paesaggio)",Non applicabile, , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Italia,Stesso ambito,Non applicabile,Concept,Non applicabile,Fruizione,Non applicabile, , , , , , , , , , ,Cultura,Non applicabile,Risorse economiche,Non applicabile,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,71,2,Non rilevabile,Non rilevabile,Non rilevabile,Laurea,"Scienze dell’antichità, filologico-letterarie e storico-artistiche","Professori di pre-primaria, primaria, secondaria e post-secondaria e professioni assimilate",Altra istruzione, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
iC1,72,Proponente,Mantova,30-34 anni,Maschio,Post-laurea,Scienze politiche e sociali,"Specialisti delle scienze gestionali, commerciali e bancarie","Attività di biblioteche, archivi, musei ed altre attività culturali",In rappresentanza di un team informale,1,No Profit,Digitale,"Patrimonio (beni culturali, archeologia, paesaggio)",Non applicabile, , , , , , , , , , ,Idea già realizzata altrove/simile a qualcosa di già esistente,Estero,Stesso ambito,Non applicabile,Progettazione,Italia,Fruizione,Non applicabile, , , , , , , , , , ,Cultura,Non applicabile,Progettazione,Risorse economiche,Non applicabile, , , , , , , , , , , , ,Selezionato,Selected
iC1,72,2,Non rilevabile,Non rilevabile,Non rilevabile,Laurea,Scienze economiche e statistiche,"Specialisti delle scienze gestionali, commerciali e bancarie",Non rilevabile, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Non selezionato,Selected
